season,team_id,franchise_id,historical_team_name,city,nickname,active
1999,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
1999,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1999,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1999,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1999,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1999,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
1999,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1999,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1999,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1999,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1999,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1999,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1999,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1999,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1999,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1999,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1999,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1999,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1999,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
1999,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
1999,NYG,GIANTS,New York Giants,New York,Giants,TRUE
1999,NYJ,JETS,New York Jets,New York,Jets,TRUE
1999,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
1999,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
1999,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
1999,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
1999,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
1999,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
1999,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2000,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2000,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2000,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2000,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2000,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2000,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2000,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2000,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2000,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2000,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
